species_code	species.name	family	genus	maximum_length	maximal.width	maximal_weight	body_shape	prostomium_shape	flat_tail	heart_position	heart_size	body_color	longitudinal_color_gradient	transversal_color_gradient	epidermis_thickness	epidermis_smoothness	mucus_quantity	muscle_type	septa_thickness	longitudinal_furrows	transverse_furrows	male_pores_position	setae_proximity	crop_presence	Morren_gland_presence	typhlosole_location	typhlosole_complexity	clitellum_shape	clitellum_location	clitellum_size	flat_clitellum	ovaries_position	tubercula_shape	tubercula_presence	seminal_vesicles_complexity	seminal_vesicles_location	spermathecal_pore_size	female_pore_location	spermathecal_pore_location	spermathecal_pore_area	gonad_presence	nephridiopore_distribution		
vt0069	Dendrodrilus.rubidus	Lumbricidae	Dendrodrilus	60	4	200	cylindrique	épilobique	0	6	5	rubifié	1	1	1	3	0	pennée	2.5	0	1	5.5	0.5	0	1	22.5	1	selle	27	5	0	13	ovale	1	1	9	3	14.5	15.5	B	1	solfege		
vt0071	Dendrodrilus.subrubicundus	Lumbricidae	Dendrodrilus	90	4	300	cylindrique	épilobique	0	6	5	rubifié	1	1	3	3	0	pennée	2.5	0	1	5.5	0.5	0	1	22.5	1	selle	26	6	0	13	gouttière	1	1	9	2	14.5	15.5	B	1	solfege		
vt0072	Eisenia.fetida	Lumbricidae	Eisenia	120	4	600	cylindrique	épilobique	1	7	5	rubifié	1	1	3	1	1	pennée	2	0	1	4.5	0	0	1	21	1	selle	26	7	1	13	bande	1	1	9	3	14.5	15.5	B	1	solfege		
vt0073	Allolobophoridella.eiseni	Lumbricidae	Allolobophoridella	60	3	270	cylindrique	tanylobique	0	7	5	rubifié	1	1	3	1	0	pennée	3	0	1	5.5	0	0	1	21	1	selle	24	9	0	13	non.différenciés	0	0	0	0	14.5	15.5	B	1	solfege		
vt0074	Diporodrilus.pilosus	Lumbricidae	Diporodrilus	175	8	4000	cylindrique	épilobique	0	7	5	rubifié	0	0	2	1	0	radiaire	5	1	1	0	0	0	1	22	1.5	selle	23	10.5	0	13	bande	1	1	9	3	14.7	15.6	B	1	alignés		
vt0075	Diporodrilus.omodeoi	Lumbricidae	Diporodrilus	50	2.5	180	cylindrique	prolobique	0	6	5	rubifié	0	0	1	1	1	élémentaire	3.8	1	1	0	0	0	1	23	1	selle	21.3	12	0	13	bande	1	1	8	2	14.7	15.5	B	1	alignés		
vt0076	Orodrilus.doderoi	Lumbricidae	Orodrilus	70	3	350	cylindrique	épilobique	1	6	5	rubifié	1	1	1	1	0	pennée	0	0	0	4.5	1	0	1	22	1	selle	25	5.67	1	13	bande	1	1	10	1	14.5	15.5	B	0	alignés		
vt0078	Ethnodrilus.zajonci	Lumbricidae	Ethnodrilus	70	4	500	cylindrique	épilobique	0	7	5	non	0	0	2	1	0	radiaire	3	0	1	4.5	0	0	1	0	2	selle	21	10	0	13	bande	1	1	10	2	14.5	15.5	B	1	alignés		
vt0080	Ethnodrilus.aveli	Lumbricidae	Ethnodrilus	80	3	290	cylindrique	épilobique	0	9	3	non	0	0	2	1	0	pennée	2.5	0	1	4.5	1	0	1	20	2	selle	22	9.3	1	13	ailette	1	1	10	3	14.5	15.5	B	1	alignés		
vt0081	Ethnodrilus.lydiae	Lumbricidae	Ethnodrilus	110	3.5	610	cylindrique	épilobique	0	6	5	non	0	0	3	1	0	pavimenteux	3	0	1	4.5	1	0	1	20	2	selle	21	11	0	13	gouttière	1	1	10	3	14.44	15.5	B	1	alignés		
